,MAE,RMSE,MAPE (%),Valor_predicho_1año,Última_fecha,Fecha_predicha
Cesantías Corto Plazo,1599.424255377207,1965.5298692338308,4.082238430722805,50536.91519401051,2025-11-13,2026-11-13
Cesantías Largo Plazo,1363.6185906119847,1877.794408394331,3.3238887476851082,52659.75239342115,2025-11-13,2026-11-13
Pensiones Moderado,1566.0722014222733,2112.57629039427,3.3726358186541816,62159.07708335471,2025-11-13,2026-11-13
Pensiones Conservador,1651.9355809502883,2401.506713012684,3.83274872644195,57437.73319365064,2025-11-13,2026-11-13
Pensiones Mayor Riesgo,2310.008015712969,3158.8000135094526,5.234237225086784,60718.09741678679,2025-11-13,2026-11-13
Pensiones Retiro Programado,1577.6006074819936,2196.304493237191,3.5558464672360874,62770.99188420857,2025-11-13,2026-11-13
Pensiones Alternativo,145.2244241710803,188.2208254735692,3.387718371383651,5757.529419663879,2025-11-13,2026-11-13
