,0
serie,Cesantías Corto Plazo - Colfondos
order,"(2, 1, 2)"
seasonal_order,"(0, 1, 1, 12)"
aic,700.3815315054335
mae,3214.94698933825
rmse,4110.8841991598865
mape_%,8.496539809423918
train_ini,2016-01
train_fin,2023-11
test_ini,2023-12
test_fin,2025-11
forecast_steps,12
