,0
serie,Cesantías Corto Plazo - Protección
order,"(2, 1, 2)"
seasonal_order,"(1, 1, 1, 12)"
aic,726.2473799794138
mae,2085.453049260132
rmse,2954.903887292258
mape_%,4.951267607746218
train_ini,2016-01
train_fin,2023-11
test_ini,2023-12
test_fin,2025-11
forecast_steps,12
