,0
serie,Cesantías Corto Plazo - Porvenir
order,"(2, 1, 2)"
seasonal_order,"(1, 1, 1, 12)"
aic,714.1878911549248
mae,2858.839854196227
rmse,3595.216057896178
mape_%,6.084906591339232
train_ini,2016-01
train_fin,2023-11
test_ini,2023-12
test_fin,2025-11
forecast_steps,12
