,MAE,RMSE,MAPE (%),Valor_predicho_1año,Última_fecha,Fecha_predicha
Cesantías Corto Plazo,1603.8058612875286,1969.725908609443,4.093099395848024,50582.07524499883,2025-11-17,2026-11-17
Cesantías Largo Plazo,1368.5466146940878,1885.26384116069,3.3347531609362235,52711.75205681163,2025-11-17,2026-11-17
Pensiones Moderado,1571.5412772399322,2121.2492573430327,3.3824882149086597,62225.50392553007,2025-11-17,2026-11-17
Pensiones Conservador,1656.1160335886216,2406.5233441555865,3.8417862397376714,57494.90721131704,2025-11-17,2026-11-17
Pensiones Mayor Riesgo,2321.593071108176,3175.3088842868347,5.257554103801958,60805.61738473275,2025-11-17,2026-11-17
Pensiones Retiro Programado,1580.80424181157,2200.085481871294,3.5629436853803167,62829.6808787466,2025-11-17,2026-11-17
Pensiones Alternativo,145.56701665139684,188.65577463059014,3.3948261715691292,5762.94804176837,2025-11-17,2026-11-17
